"Pclass","Sex","Embarked","Survived","Title","pp","Total_group_size_FE","IsChild_FE","Have_relatives"
"3","female","S","0","Miss",4.46785714285714,7,"1","1"
"2","male","S","1","Mr",13,2,"0","1"
"1","male","C","0","Mr",35.475,3,"0","1"
"1","male","S","0","Mr",26,1,"0","0"
"2","female","S","1","Mrs",13,2,"0","1"
"2","male","C","1","Mr",13.8625,1,"0","0"
"3","male","S","0","Mr",6.84166666666667,3,"0","1"
"2","male","S","1","Master",9.1875,4,"1","1"
"1","male","C","1","Mr",27.720825,4,"0","1"
"2","male","S","0","Mr",13,2,"0","0"
"3","male","Q","0","Mr",7.8292,1,"0","0"
"3","male","C","1","Mr",7.225,1,"0","0"
"3","female","S","1","Miss",7.775,1,"0","0"
"1","male","S","0","Mr",26.55,1,"0","0"
"1","female","C","1","Other",39.6,2,"0","1"
"1","male","C","0","Mr",45.505,5,"0","0"
"1","female","S","1","Mrs",26.55,3,"0","1"
"3","female","S","1","Mrs",8.7,2,"0","1"
"3","male","Q","0","Mr",7.75,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"2","male","S","0","Mr",13.5,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","female","S","0","Miss",8.05,1,"0","0"
"3","male","S","0","Mr",8.05,3,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","female","S","0","Mrs",4.215,5,"0","1"
"3","male","C","0","Mr",7.2292,1,"0","0"
"3","male","S","1","Mr",7.8542,1,"0","0"
"2","male","S","1","Mr",10.5,1,"0","0"
"1","female","S","1","Mrs",25.7396,3,"0","1"
"1","male","S","1","Mr",26.3875,1,"0","0"
"3","female","Q","1","Miss",7.75,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",7.25,2,"0","0"
"2","female","S","1","Miss",13,1,"0","0"
"1","female","S","1","Mrs",27.95,2,"0","1"
"3","female","C","0","Mrs",7.22915,2,"0","1"
"3","male","S","1","Mr",7.925,1,"0","0"
"2","female","S","1","Miss",15,3,"0","1"
"1","female","C","1","Mrs",27.720825,4,"0","1"
"2","male","S","0","Mr",13,2,"0","0"
"1","male","C","0","Mr",40.125,1,"0","0"
"3","male","C","0","Mr",8.7125,1,"0","0"
"1","female","S","1","Miss",26.55,3,"0","1"
"2","male","S","0","Mr",15,1,"0","0"
"1","male","C","1","Mr",39.6,3,"0","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","0","Mr",7.125,1,"0","0"
"1","female","C","1","Mrs",39.13335,2,"0","1"
"3","male","S","0","Mr",7.25,1,"0","0"
"3","female","Q","0","Miss",7.75,3,"0","1"
"2","male","S","0","Mr",13,2,"0","1"
"3","male","S","0","Mr",8.05,3,"0","1"
"2","female","S","1","Miss",11,3,"0","0"
"3","male","S","0","Mr",0,4,"0","0"
"3","male","C","0","Mr",7.225,1,"0","0"
"1","male","C","1","Other",28.4646,2,"0","1"
"2","female","S","1","Mrs",13.5,4,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","male","S","0","Mr",21.2,2,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"1","male","C","1","Mr",26.55,1,"0","0"
"3","male","S","0","Mr",7.775,2,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","male","S","1","Mr",30.5,1,"0","0"
"2","female","C","1","Mrs",10.3948,4,"0","1"
"1","female","S","1","Miss",51.1541666666667,3,"0","0"
"3","female","S","0","Mrs",4.46785714285714,7,"0","1"
"3","male","S","0","Mr",7.05,1,"0","0"
"3","female","Q","1","Miss",7.75,2,"0","1"
"3","male","Q","0","Mr",7.75,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"2","female","S","1","Miss",13,5,"0","1"
"3","male","S","0","Mr",4.8,3,"0","1"
"3","female","S","0","Mrs",8.05,2,"0","1"
"2","female","S","1","Miss",9.75,4,"1","1"
"2","male","S","0","Mr",10.5,1,"0","0"
"3","male","C","0","Mr",7.2271,2,"0","1"
"1","male","S","1","Mr",26.2771,2,"0","1"
"3","male","C","1","Mr",5.24723333333333,3,"0","1"
"3","male","S","0","Mr",7.8542,1,"0","0"
"3","male","S","0","Mr",8.05,2,"0","0"
"1","male","S","0","Mr",32.3208,1,"0","0"
"2","male","Q","0","Other",12.35,1,"0","0"
"1","female","S","1","Miss",25.9861,3,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","male","Q","0","Mr",7.7333,1,"0","0"
"1","male","S","1","Mr",30,1,"0","0"
"3","male","S","0","Mr",7.0542,1,"0","0"
"1","male","C","1","Other",30.5,1,"0","0"
"1","male","S","0","Mr",0,1,"0","0"
"3","female","S","0","Miss",4.65,6,"1","1"
"2","female","S","1","Miss",13,1,"0","0"
"3","male","S","0","Mr",7.925,1,"0","0"
"2","male","S","0","Mr",8.75,3,"0","1"
"3","female","S","0","Mrs",5.66964285714286,7,"0","1"
"3","male","S","0","Mr",8.05,2,"0","1"
"3","male","S","0","Mr",7.8542,1,"0","0"
"1","female","C","1","Other",34.65,2,"0","0"
"3","female","S","0","Miss",4.65,6,"1","1"
"3","male","S","1","Mr",7.061975,8,"0","0"
"3","female","C","1","Miss",4.814575,4,"1","1"
"1","male","C","1","Mr",25.5764,3,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","male","C","1","Other",35.5,1,"0","0"
"3","male","S","0","Mr",7.55,1,"0","0"
"3","female","S","1","Miss",7.55,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"2","female","S","1","Miss",11.5,2,"0","1"
"3","male","S","0","Mr",8.4333,1,"0","0"
"3","female","Q","1","Miss",7.8292,1,"0","0"
"3","female","Q","0","Miss",6.75,1,"0","0"
"2","male","S","0","Mr",10.5,7,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","female","Q","0","Mrs",7.75,3,"0","1"
"2","male","S","0","Mr",13,1,"0","0"
"1","male","C","0","Mr",37.7583333333333,3,"0","1"
"1","male","S","1","Other",66.825,3,"0","1"
"3","male","C","0","Mr",7.225,1,"0","0"
"1","male","S","0","Mr",25.5875,1,"0","0"
"3","male","S","0","Mr",7.4958,1,"0","0"
"3","male","S","1","Mr",7.925,2,"0","1"
"2","male","S","0","Mr",10.5,7,"0","1"
"2","male","S","0","Mr",13,1,"0","0"
"3","male","S","0","Mr",7.775,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"1","female","S","1","Mrs",26,2,"0","1"
"2","female","S","1","Mrs",13,3,"0","1"
"1","male","S","0","Mr",26,2,"0","1"
"2","male","S","0","Mr",10.5,1,"0","0"
"2","male","S","1","Mr",13,1,"0","0"
"2","male","S","0","Mr",0,1,"0","0"
"3","male","S","0","Mr",7.775,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","female","S","1","Miss",9.8417,1,"0","0"
"3","female","S","0","Mrs",5.8625,8,"0","1"
"1","male","C","1","Mr",128.0823,4,"0","1"
"3","female","Q","0","Miss",8.1375,1,"0","0"
"1","male","C","1","Mr",25.5764,3,"0","0"
"3","male","S","0","Mr",9.225,1,"0","0"
"3","male","S","0","Mr",5.8625,8,"1","1"
"2","male","S","0","Mr",13,3,"0","1"
"2","male","C","0","Mr",10.3948,4,"0","1"
"3","male","S","0","Mr",5.66964285714286,7,"1","1"
"3","male","S","0","Mr",10.1708,1,"0","0"
"3","male","S","0","Mr",7.7958,1,"0","0"
"1","female","S","1","Miss",52.834375,4,"0","1"
"1","male","S","1","Mr",28.5,2,"0","1"
"3","female","C","1","Miss",6.70835,2,"1","1"
"3","male","S","1","Mr",7.061975,8,"0","0"
"3","male","C","0","Mr",7.225,1,"0","0"
"1","male","S","0","Other",26.55,1,"0","0"
"2","male","S","0","Mr",13.5,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","female","Q","1","Miss",7.7333,1,"0","0"
"1","male","C","0","Mr",27.720825,4,"0","1"
"3","male","S","0","Mr",7.65,1,"0","0"
"1","female","C","1","Mrs",45.505,5,"0","1"
"1","male","S","1","Mr",26.2875,1,"0","0"
"3","female","C","0","Miss",7.2271,2,"0","1"
"3","male","Q","0","Mr",7.7417,1,"0","0"
"3","male","S","0","Mr",7.8542,2,"0","1"
"2","male","S","0","Mr",13,2,"0","0"
"2","female","S","1","Mrs",13.5,1,"0","0"
"1","male","S","1","Mr",26.2875,1,"0","0"
"1","female","S","1","Miss",25.2583333333333,6,"0","0"
"3","male","C","1","Master",5.08193333333333,3,"1","1"
"1","female","C","1","Other",49.5042,1,"0","0"
"1","male","S","0","Mr",26.55,1,"0","0"
"1","male","S","1","Mr",26,2,"0","1"
"3","male","S","0","Mr",9.4833,1,"0","0"
"2","male","S","0","Mr",6.5,2,"0","0"
"3","male","S","0","Mr",7.65,1,"0","0"
"1","female","C","1","Miss",45.505,5,"0","0"
"2","female","S","1","Miss",10.5,1,"0","0"
"3","male","Q","0","Mr",7.75,2,"0","0"
"3","male","S","0","Mr",7.775,1,"0","0"
"2","female","S","1","Miss",11,3,"1","1"
"3","male","S","0","Mr",7.0542,2,"0","1"
"2","male","S","0","Mr",13,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"1","male","S","1","Mr",26.55,2,"0","1"
"3","male","S","0","Mr",8.6625,1,"0","0"
"2","female","S","1","Mrs",10.5,4,"0","1"
"3","female","Q","1","Miss",7.7375,1,"0","0"
"2","male","S","0","Mr",13,2,"0","1"
"3","female","S","0","Miss",7.925,2,"0","1"
"1","female","S","1","Miss",52.834375,4,"0","0"
"3","male","C","0","Mr",9.39375,2,"1","0"
"2","male","S","0","Mr",0,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"3","male","S","0","Mr",8.05,2,"0","0"
"3","female","S","0","Mrs",6.875,5,"0","1"
"1","male","C","1","Mr",128.0823,4,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","male","S","1","Mr",30,1,"0","0"
"1","male","S","0","Mr",26.2833333333333,3,"0","1"
"1","female","C","1","Miss",37.4821428571429,7,"0","1"
"3","male","S","0","Mr",8.05,2,"0","1"
"3","male","S","1","Mr",7.925,1,"0","0"
"1","male","S","0","Other",35.5,3,"0","1"
"3","male","S","0","Mr",6.75,3,"0","1"
"2","female","S","1","Miss",13,1,"0","0"
"1","male","S","0","Mr",26.55,2,"0","1"
"3","male","Q","0","Mr",7.75,1,"0","0"
"2","female","S","1","Miss",7.66666666666667,3,"1","1"
"3","male","S","1","Master",6.2375,2,"1","1"
"3","male","S","0","Mr",9.5,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"2","female","S","1","Mrs",13,5,"0","1"
"2","male","S","1","Master",7.25,3,"1","1"
"3","male","S","0","Mr",7.7958,1,"0","0"
"2","male","S","0","Mr",11.5,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"1","female","S","1","Other",28.8333333333333,3,"0","0"
"3","male","S","0","Mr",7.25,2,"0","0"
"3","male","S","0","Mr",7.125,1,"0","0"
"3","male","C","1","Mr",7.2292,1,"0","0"
"1","female","S","1","Mrs",30,4,"0","1"
"3","male","S","0","Mr",7.775,1,"0","0"
"1","female","S","1","Mrs",25.9861,3,"0","1"
"1","male","C","0","Other",39.6,1,"0","0"
"3","female","Q","0","Miss",7.75,1,"0","0"
"3","male","Q","0","Mr",8.05,3,"0","1"
"3","male","S","0","Mr",8.3625,1,"0","0"
"3","male","S","0","Mr",9.5,1,"0","0"
"3","male","S","0","Mr",7.8542,1,"0","0"
"2","female","S","0","Mrs",5.25,2,"0","0"
"3","male","C","0","Mr",7.225,1,"0","0"
"2","female","S","1","Mrs",11.5,5,"0","1"
"3","male","S","0","Mr",7.75,1,"0","0"
"3","male","Q","0","Mr",7.75,1,"0","0"
"3","female","S","1","Miss",6.2375,2,"1","0"
"3","male","Q","0","Mr",7.7375,1,"0","0"
"1","female","S","1","Mrs",52.834375,4,"0","1"
"3","female","C","1","Miss",7.2292,1,"1","0"
"1","female","S","1","Mrs",28.5,2,"0","1"
"1","male","S","0","Mr",30,1,"0","0"
"3","male","S","0","Mr",5.8625,4,"0","1"
"3","male","S","0","Mr",7.05,1,"0","0"
"3","male","S","0","Mr",7.25,1,"0","0"
"3","female","S","1","Miss",7.4958,1,"0","0"
"3","male","Q","0","Master",4.85416666666667,6,"1","1"
"3","male","S","1","Master",5.14375,4,"1","1"
"1","male","C","0","Mr",39.6,2,"0","0"
"3","male","Q","0","Mr",7.75,1,"0","0"
"2","male","S","0","Mr",13,2,"0","0"
"3","female","S","0","Miss",6.32272727272727,11,"1","1"
"1","male","C","0","Mr",30.6958,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"1","female","S","1","Other",25.9292,1,"0","0"
"3","female","S","1","Mrs",8.6833,1,"0","0"
"3","male","C","0","Mr",7.2292,1,"0","0"
"3","female","S","0","Mrs",8.05,3,"0","1"
"2","male","S","0","Mr",6.5,2,"0","0"
"2","female","S","1","Mrs",8.75,3,"0","1"
"1","male","S","1","Master",30,4,"1","1"
"3","male","C","1","Master",4.25835,2,"1","1"
"3","male","S","1","Mr",6.975,1,"0","0"
"3","male","S","0","Mr",7.775,1,"0","0"
"1","male","S","0","Mr",0,1,"0","0"
"3","female","S","0","Miss",7.775,1,"0","0"
"2","male","S","0","Mr",13,1,"0","0"
"1","female","S","1","Mrs",26.55,2,"0","1"
"3","male","S","0","Mr",7.8875,1,"0","0"
"3","male","S","0","Mr",8.05,3,"0","0"
"2","male","S","0","Mr",10.5,1,"0","0"
"3","female","S","0","Miss",4.46785714285714,7,"1","1"
"3","male","S","0","Mr",8.05,1,"0","0"
"1","male","S","0","Mr",0,2,"0","0"
"3","female","S","0","Miss",7.925,1,"0","0"
"2","male","C","0","Mr",12.3347333333333,3,"0","1"
"3","male","S","0","Mr",6.45,1,"0","0"
"3","male","S","0","Master",4.65,6,"1","1"
"1","female","S","1","Mrs",23.375,4,"0","1"
"3","male","S","1","Mr",8.6625,1,"0","0"
"1","male","S","0","Other",0,1,"0","0"
"3","female","S","1","Mrs",6.2375,2,"0","1"
"3","male","S","0","Master",5.66964285714286,7,"1","1"
"3","male","Q","0","Mr",6.95,1,"0","0"
"3","male","S","0","Mr",7.061975,8,"0","0"
"2","male","C","1","Master",12.3347333333333,3,"1","1"
"3","male","Q","1","Mr",7.75,1,"0","0"
"1","female","C","1","Mrs",40,2,"0","0"
"3","female","C","1","Mrs",7.2271,2,"0","1"
"2","male","S","1","Master",6.25,3,"1","1"
"3","male","C","0","Mr",7.2292,1,"0","0"
"3","male","S","0","Mr",7.8542,1,"0","0"
"3","male","S","0","Mr",8.3,1,"0","0"
"1","female","C","1","Miss",27.7194333333333,3,"0","1"
"3","male","S","0","Mr",8.6625,1,"0","0"
"3","male","S","0","Mr",8.05,1,"0","0"
"3","male","S","1","Mr",7.061975,8,"0","0"
"1","male","C","1","Mr",29.7,1,"0","0"
"3","male","S","0","Mr",7.925,1,"0","0"
"2","male","S","0","Mr",5.25,2,"0","0"
"1","female","C","1","Miss",15.5,2,"0","0"
"3","male","C","0","Mr",6.4375,1,"0","0"
"3","male","S","0","Mr",8.6625,1,"0","0"
"3","male","S","0","Mr",7.55,1,"0","0"
"3","male","S","0","Mr",6.32272727272727,11,"0","1"
"3","male","C","0","Mr",7.8958,1,"0","0"
"2","male","S","0","Other",11,3,"0","1"
"1","female","C","1","Mrs",44.5521,2,"0","1"
"3","male","S","0","Master",4.46785714285714,7,"1","1"
"3","male","S","0","Mr",7.775,1,"0","0"
"3","female","C","0","Miss",5.08193333333333,3,"1","1"
"1","female","S","1","Miss",19.7,2,"0","1"
"2","female","S","0","Mrs",13,2,"0","1"
"3","female","S","1","Mrs",4.675,2,"0","1"
"1","female","S","1","Mrs",41.216675,4,"0","1"
"1","male","S","1","Mr",26.55,1,"0","0"
"3","female","C","1","Mrs",4.814575,4,"0","1"
"3","male","C","0","Mr",7.2292,1,"0","0"
"3","male","S","0","Mr",7.05415,3,"0","1"
"2","male","S","0","Mr",11.5,2,"0","1"
"1","female","S","1","Mrs",25.9292,1,"0","0"
"3","female","S","0","Miss",6.32272727272727,11,"1","1"
"2","male","S","0","Mr",13,1,"0","0"
"2","female","S","1","Mrs",13,1,"0","0"
"2","female","C","1","Miss",13.8583,2,"0","1"
"1","male","S","0","Mr",50.4958,1,"0","0"
"3","male","S","0","Mr",9.5,1,"0","0"
"3","male","S","1","Master",3.7111,3,"1","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","female","S","1","Mrs",26.2771,3,"0","1"
"1","male","S","0","Mr",5,1,"0","0"
"3","male","S","0","Mr",9,1,"0","0"
"2","female","C","1","Mrs",12,2,"0","1"
"3","female","C","1","Miss",7.225,1,"0","0"
"3","male","S","0","Mr",9.8458,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","male","S","0","Mr",7.8958,1,"0","0"
"1","female","C","1","Mrs",27.7194333333333,3,"0","1"
"2","female","S","1","Mrs",13,2,"0","1"
"3","male","S","0","Mr",7.8958,1,"0","0"
"3","female","S","0","Miss",10.5167,1,"0","0"
"2","male","S","0","Mr",10.5,1,"0","0"
"3","male","S","0","Mr",7.05,1,"0","0"
"3","female","Q","0","Mrs",4.85416666666667,6,"0","1"
"2","male","S","0","Other",13,1,"0","0"
"1","female","S","1","Miss",30,1,"0","0"
"3","female","S","0","Miss",5.8625,4,"1","1"
"1","male","C","1","Mr",30,1,"0","0"
"3","male","Q","0","Mr",7.75,1,"0","0"
